Year,ScopeID,Sector,SubSector1,SubSector2,Emissions_tonnes_CO2-e,LGA,Planning_Region,Metro_or_Regional,LGA_CODE18
2019,1,Electricity Generation,,,823,Camden,Western Parkland City,Six Cities,11450
2019,1,Electricity Generation,,,6763694,Central Coast,Central Coast City,Six Cities,11650
2019,1,Electricity Generation,,,12481,Cumberland,Central River City,Six Cities,12380
2019,1,Electricity Generation,,,15440707,Lake Macquarie,Lower Hunter and Greater Newcastle City,Six Cities,14650
2019,1,Electricity Generation,,,5913863,Lithgow,Central West and Orana,Regional,14870
2019,1,Electricity Generation,,,22555015,Muswellbrook,Upper Hunter,Regional,15650
2019,1,Electricity Generation,,,52525,Narrabri,New England North West,Regional,15750
2019,1,Electricity Generation,,,3894,North Sydney,Eastern Harbour City,Six Cities,15950
2019,1,Electricity Generation,,,1146,Northern Beaches,Eastern Harbour City,Six Cities,15990
2019,1,Electricity Generation,,,583,Penrith,Western Parkland City,Six Cities,16350
2019,1,Electricity Generation,,,1328,Randwick,Eastern Harbour City,Six Cities,16550
2019,1,Electricity Generation,,,5978,Richmond Valley,North Coast,Regional,16610
2019,1,Electricity Generation,,,1220,Shoalhaven,Illawarra-Shoalhaven City,Six Cities,16950
2019,1,Electricity Generation,,,39648,Singleton,Upper Hunter,Regional,17000
2019,1,Electricity Generation,,,417,Snowy Monaro Regional,South East and Tablelands,Regional,17040
2019,1,Electricity Generation,,,9046,Sutherland Shire,Central River City,Six Cities,17150
2019,1,Electricity Generation,,,8146,Sydney,Eastern Harbour City,Six Cities,17200
2019,1,Electricity Generation,,,5255,Tweed,North Coast,Regional,17550
2019,1,Electricity Generation,,,208907,Wagga Wagga,Riverina Murray,Regional,17750
2019,1,Electricity Generation,,,255881,Wollondilly,Western Parkland City,Six Cities,18400
2019,1,Electricity Generation,,,355242,Wollongong,Illawarra-Shoalhaven City,Six Cities,18450
2016,1,Stationary Energy (excluding Electricity Generation),,,77900,Albury,Riverina Murray,Regional,10050
2016,1,Stationary Energy (excluding Electricity Generation),,,33709,Armidale Regional,New England North West,Regional,10130
2016,1,Stationary Energy (excluding Electricity Generation),,,12428,Ballina,North Coast,Regional,10250
2016,1,Stationary Energy (excluding Electricity Generation),,,2775,Balranald,Far West,Regional,10300
2016,1,Stationary Energy (excluding Electricity Generation),,,58109,Bathurst Regional,Central West and Orana,Regional,10470
2016,1,Stationary Energy (excluding Electricity Generation),,,682314,Bayside,Eastern Harbour City,Six Cities,10500
2016,1,Stationary Energy (excluding Electricity Generation),,,46222,Bega Valley,South East and Tablelands,Regional,10550
2016,1,Stationary Energy (excluding Electricity Generation),,,8357,Bellingen,North Coast,Regional,10600
2016,1,Stationary Energy (excluding Electricity Generation),,,17672,Berrigan,Riverina Murray,Regional,10650
2016,1,Stationary Energy (excluding Electricity Generation),,,213823,Blacktown,Central River City,Six Cities,10750
2016,1,Stationary Energy (excluding Electricity Generation),,,110434,Bland,Riverina Murray,Regional,10800
2016,1,Stationary Energy (excluding Electricity Generation),,,22840,Blayney,Central West and Orana,Regional,10850
2016,1,Stationary Energy (excluding Electricity Generation),,,52413,Blue Mountains,Western Parkland City,Six Cities,10900
2016,1,Stationary Energy (excluding Electricity Generation),,,50021,Bogan,Central West and Orana,Regional,10950
2016,1,Stationary Energy (excluding Electricity Generation),,,4013,Bourke,Far West,Regional,11150
2016,1,Stationary Energy (excluding Electricity Generation),,,11405,Brewarrina,Far West,Regional,11200
2016,1,Stationary Energy (excluding Electricity Generation),,,23868,Broken Hill,Far West,Regional,11250
2016,1,Stationary Energy (excluding Electricity Generation),,,18518,Burwood,Eastern Harbour City,Six Cities,11300
2016,1,Stationary Energy (excluding Electricity Generation),,,10305,Byron,North Coast,Regional,11350
2016,1,Stationary Energy (excluding Electricity Generation),,,18618,Cabonne,Central West and Orana,Regional,11400
2016,1,Stationary Energy (excluding Electricity Generation),,,67244,Camden,Western Parkland City,Six Cities,11450
2016,1,Stationary Energy (excluding Electricity Generation),,,83839,Campbelltown,Western Parkland City,Six Cities,11500
2016,1,Stationary Energy (excluding Electricity Generation),,,40619,Canada Bay,Eastern Harbour City,Six Cities,11520
2016,1,Stationary Energy (excluding Electricity Generation),,,143498,Canterbury-Bankstown,Central River City,Six Cities,11570
2016,1,Stationary Energy (excluding Electricity Generation),,,95778,Carrathool,Riverina Murray,Regional,11600
2016,1,Stationary Energy (excluding Electricity Generation),,,71429,Central Coast,Central Coast City,Six Cities,11650
2016,1,Stationary Energy (excluding Electricity Generation),,,485,Central Darling,Far West,Regional,11700
2016,1,Stationary Energy (excluding Electricity Generation),,,30346,Cessnock,Lower Hunter and Greater Newcastle City,Six Cities,11720
2016,1,Stationary Energy (excluding Electricity Generation),,,60358,Clarence Valley,North Coast,Regional,11730
2016,1,Stationary Energy (excluding Electricity Generation),,,46617,Cobar,Far West,Regional,11750
2016,1,Stationary Energy (excluding Electricity Generation),,,28110,Coffs Harbour,North Coast,Regional,11800
2016,1,Stationary Energy (excluding Electricity Generation),,,25588,Coolamon,Riverina Murray,Regional,12000
2016,1,Stationary Energy (excluding Electricity Generation),,,78635,Coonamble,Central West and Orana,Regional,12150
2016,1,Stationary Energy (excluding Electricity Generation),,,52811,Cootamundra-Gundagai Regional,Riverina Murray,Regional,12160
2016,1,Stationary Energy (excluding Electricity Generation),,,19394,Cowra,Central West and Orana,Regional,12350
2016,1,Stationary Energy (excluding Electricity Generation),,,159200,Cumberland,Central River City,Six Cities,12380
2016,1,Stationary Energy (excluding Electricity Generation),,,69843,Dubbo Regional,Central West and Orana,Regional,12390
2016,1,Stationary Energy (excluding Electricity Generation),,,2857,Dungog,Upper Hunter,Regional,12700
2016,1,Stationary Energy (excluding Electricity Generation),,,8959,Edward River,Riverina Murray,Regional,12730
2016,1,Stationary Energy (excluding Electricity Generation),,,34295,Eurobodalla,South East and Tablelands,Regional,12750
2016,1,Stationary Energy (excluding Electricity Generation),,,202394,Fairfield,Western Parkland City,Six Cities,12850
2016,1,Stationary Energy (excluding Electricity Generation),,,73233,Federation,Riverina Murray,Regional,12870
2016,1,Stationary Energy (excluding Electricity Generation),,,111831,Forbes,Central West and Orana,Regional,12900
2016,1,Stationary Energy (excluding Electricity Generation),,,54512,Georges River,Central River City,Six Cities,12930
2016,1,Stationary Energy (excluding Electricity Generation),,,8143,Gilgandra,Central West and Orana,Regional,12950
2016,1,Stationary Energy (excluding Electricity Generation),,,11084,Glen Innes Severn,New England North West,Regional,13010
2016,1,Stationary Energy (excluding Electricity Generation),,,79883,Goulburn Mulwaree,South East and Tablelands,Regional,13310
2016,1,Stationary Energy (excluding Electricity Generation),,,36697,Greater Hume Shire,Riverina Murray,Regional,13340
2016,1,Stationary Energy (excluding Electricity Generation),,,59370,Griffith,Riverina Murray,Regional,13450
2016,1,Stationary Energy (excluding Electricity Generation),,,54706,Gunnedah,New England North West,Regional,13550
2016,1,Stationary Energy (excluding Electricity Generation),,,6882,Gwydir,New England North West,Regional,13660
2016,1,Stationary Energy (excluding Electricity Generation),,,17772,Hawkesbury,Western Parkland City,Six Cities,13800
