Year,ScopeID,Sector,SubSector1,SubSector2,Emissions_tonnes_CO2-e,LGA,Planning_Region,Metro_or_Regional,LGA_CODE18
2017,1,Transport,On-road,Light Duty Vehicles,152109,Maitland,Lower Hunter and Greater Newcastle City,Six Cities,15050
2017,1,Transport,On-road,Light Duty Vehicles,381817,Mid-Coast,Upper Hunter,Regional,15240
2017,1,Transport,On-road,Light Duty Vehicles,95663,Mid-Western Regional,Central West and Orana,Regional,15270
2017,1,Transport,On-road,Light Duty Vehicles,44821,Moree Plains,New England North West,Regional,15300
2017,1,Transport,On-road,Light Duty Vehicles,27054,Mosman,Eastern Harbour City,Six Cities,15350
2017,1,Transport,On-road,Light Duty Vehicles,31141,Murray River,Riverina Murray,Regional,15520
2017,1,Transport,On-road,Light Duty Vehicles,16672,Murrumbidgee,Riverina Murray,Regional,15560
2017,1,Transport,On-road,Light Duty Vehicles,65127,Muswellbrook,Upper Hunter,Regional,15650
2017,1,Transport,On-road,Light Duty Vehicles,86242,Nambucca,North Coast,Regional,15700
2017,1,Transport,On-road,Light Duty Vehicles,59211,Narrabri,New England North West,Regional,15750
2017,1,Transport,On-road,Light Duty Vehicles,28248,Narrandera,Riverina Murray,Regional,15800
2017,1,Transport,On-road,Light Duty Vehicles,27610,Narromine,Central West and Orana,Regional,15850
2017,1,Transport,On-road,Light Duty Vehicles,345647,Newcastle,Lower Hunter and Greater Newcastle City,Six Cities,15900
2017,1,Transport,On-road,Light Duty Vehicles,115009,North Sydney,Eastern Harbour City,Six Cities,15950
2017,1,Transport,On-road,Light Duty Vehicles,295769,Northern Beaches,Eastern Harbour City,Six Cities,15990
2017,1,Transport,On-road,Light Duty Vehicles,27128,Oberon,Central West and Orana,Regional,16100
2017,1,Transport,On-road,Light Duty Vehicles,113186,Orange,Central West and Orana,Regional,16150
2017,1,Transport,On-road,Light Duty Vehicles,59050,Parkes,Central West and Orana,Regional,16200
2017,1,Transport,On-road,Light Duty Vehicles,481885,Parramatta,Central River City,Six Cities,16260
2017,1,Transport,On-road,Light Duty Vehicles,370076,Penrith,Western Parkland City,Six Cities,16350
2017,1,Transport,On-road,Light Duty Vehicles,291431,Port Macquarie-Hastings,North Coast,Regional,16380
2017,1,Transport,On-road,Light Duty Vehicles,158373,Port Stephens,Lower Hunter and Greater Newcastle City,Six Cities,16400
2017,1,Transport,On-road,Light Duty Vehicles,189023,Queanbeyan-Palerang Regional,South East and Tablelands,Regional,16490
2017,1,Transport,On-road,Light Duty Vehicles,105583,Randwick,Eastern Harbour City,Six Cities,16550
2017,1,Transport,On-road,Light Duty Vehicles,107572,Richmond Valley,North Coast,Regional,16610
2017,1,Transport,On-road,Light Duty Vehicles,267414,Ryde,Eastern Harbour City,Six Cities,16700
2017,1,Transport,On-road,Light Duty Vehicles,109678,Shellharbour,Illawarra-Shoalhaven City,Six Cities,16900
2017,1,Transport,On-road,Light Duty Vehicles,387953,Shoalhaven,Illawarra-Shoalhaven City,Six Cities,16950
2017,1,Transport,On-road,Light Duty Vehicles,16074,Singleton,Upper Hunter,Regional,17000
2017,1,Transport,On-road,Light Duty Vehicles,91466,Snowy Monaro Regional,South East and Tablelands,Regional,17040
2017,1,Transport,On-road,Light Duty Vehicles,41128,Snowy Valleys,Riverina Murray,Regional,17080
2017,1,Transport,On-road,Light Duty Vehicles,111294,Strathfield,Eastern Harbour City,Six Cities,17100
2017,1,Transport,On-road,Light Duty Vehicles,364835,Sutherland Shire,Central River City,Six Cities,17150
2017,1,Transport,On-road,Light Duty Vehicles,372303,Sydney,Eastern Harbour City,Six Cities,17200
2017,1,Transport,On-road,Light Duty Vehicles,230956,Tamworth Regional,New England North West,Regional,17310
2017,1,Transport,On-road,Light Duty Vehicles,20779,Temora,Riverina Murray,Regional,17350
2017,1,Transport,On-road,Light Duty Vehicles,21049,Tenterfield,New England North West,Regional,17400
2017,1,Transport,On-road,Light Duty Vehicles,248535,The Hills Shire,Central River City,Six Cities,17420
2017,1,Transport,On-road,Light Duty Vehicles,304270,Tweed,North Coast,Regional,17550
2017,1,Transport,On-road,Light Duty Vehicles,17914,Unincorporated NSW,Far West,Regional,19399
2017,1,Transport,On-road,Light Duty Vehicles,70604,Upper Hunter Shire,Upper Hunter,Regional,17620
2017,1,Transport,On-road,Light Duty Vehicles,73977,Upper Lachlan Shire,South East and Tablelands,Regional,17640
2017,1,Transport,On-road,Light Duty Vehicles,28345,Uralla,New England North West,Regional,17650
2017,1,Transport,On-road,Light Duty Vehicles,243992,Wagga Wagga,Riverina Murray,Regional,17750
2017,1,Transport,On-road,Light Duty Vehicles,10046,Walcha,New England North West,Regional,17850
2017,1,Transport,On-road,Light Duty Vehicles,19354,Walgett,Far West,Regional,17900
2017,1,Transport,On-road,Light Duty Vehicles,12286,Warren,Central West and Orana,Regional,17950
2017,1,Transport,On-road,Light Duty Vehicles,51431,Warrumbungle Shire,Central West and Orana,Regional,18020
2017,1,Transport,On-road,Light Duty Vehicles,29931,Waverley,Eastern Harbour City,Six Cities,18050
2017,1,Transport,On-road,Light Duty Vehicles,13765,Weddin,Central West and Orana,Regional,18100
2017,1,Transport,On-road,Light Duty Vehicles,19507,Wentworth,Far West,Regional,18200
2017,1,Transport,On-road,Light Duty Vehicles,129207,Willoughby,Eastern Harbour City,Six Cities,18250
2017,1,Transport,On-road,Light Duty Vehicles,238814,Wingecarribee,South East and Tablelands,Regional,18350
2017,1,Transport,On-road,Light Duty Vehicles,118854,Wollondilly,Western Parkland City,Six Cities,18400
2017,1,Transport,On-road,Light Duty Vehicles,427102,Wollongong,Illawarra-Shoalhaven City,Six Cities,18450
2017,1,Transport,On-road,Light Duty Vehicles,46535,Woollahra,Eastern Harbour City,Six Cities,18500
2017,1,Transport,On-road,Light Duty Vehicles,131884,Yass Valley,South East and Tablelands,Regional,18710
2018,1,Transport,On-road,Light Duty Vehicles,173917,Albury,Riverina Murray,Regional,10050
2018,1,Transport,On-road,Light Duty Vehicles,103970,Armidale Regional,New England North West,Regional,10130
2018,1,Transport,On-road,Light Duty Vehicles,174656,Ballina,North Coast,Regional,10250
2018,1,Transport,On-road,Light Duty Vehicles,11627,Balranald,Far West,Regional,10300
2018,1,Transport,On-road,Light Duty Vehicles,147801,Bathurst Regional,Central West and Orana,Regional,10470
2018,1,Transport,On-road,Light Duty Vehicles,334555,Bayside,Eastern Harbour City,Six Cities,10500
2018,1,Transport,On-road,Light Duty Vehicles,116684,Bega Valley,South East and Tablelands,Regional,10550
2018,1,Transport,On-road,Light Duty Vehicles,58520,Bellingen,North Coast,Regional,10600
2018,1,Transport,On-road,Light Duty Vehicles,22179,Berrigan,Riverina Murray,Regional,10650
2018,1,Transport,On-road,Light Duty Vehicles,663984,Blacktown,Central River City,Six Cities,10750
2018,1,Transport,On-road,Light Duty Vehicles,26247,Bland,Riverina Murray,Regional,10800
2018,1,Transport,On-road,Light Duty Vehicles,28141,Blayney,Central West and Orana,Regional,10850
2018,1,Transport,On-road,Light Duty Vehicles,205431,Blue Mountains,Western Parkland City,Six Cities,10900
2018,1,Transport,On-road,Light Duty Vehicles,11937,Bogan,Central West and Orana,Regional,10950
2018,1,Transport,On-road,Light Duty Vehicles,7681,Bourke,Far West,Regional,11150
2018,1,Transport,On-road,Light Duty Vehicles,4510,Brewarrina,Far West,Regional,11200
2018,1,Transport,On-road,Light Duty Vehicles,42299,Broken Hill,Far West,Regional,11250
2018,1,Transport,On-road,Light Duty Vehicles,54655,Burwood,Eastern Harbour City,Six Cities,11300
2018,1,Transport,On-road,Light Duty Vehicles,145573,Byron,North Coast,Regional,11350
2018,1,Transport,On-road,Light Duty Vehicles,90700,Cabonne,Central West and Orana,Regional,11400
2018,1,Transport,On-road,Light Duty Vehicles,168767,Camden,Western Parkland City,Six Cities,11450
2018,1,Transport,On-road,Light Duty Vehicles,296247,Campbelltown,Western Parkland City,Six Cities,11500
2018,1,Transport,On-road,Light Duty Vehicles,145800,Canada Bay,Eastern Harbour City,Six Cities,11520
2018,1,Transport,On-road,Light Duty Vehicles,561238,Canterbury-Bankstown,Central River City,Six Cities,11570
2018,1,Transport,On-road,Light Duty Vehicles,43696,Carrathool,Riverina Murray,Regional,11600
2018,1,Transport,On-road,Light Duty Vehicles,925364,Central Coast,Central Coast City,Six Cities,11650
2018,1,Transport,On-road,Light Duty Vehicles,10912,Central Darling,Far West,Regional,11700
2018,1,Transport,On-road,Light Duty Vehicles,168630,Cessnock,Lower Hunter and Greater Newcastle City,Six Cities,11720
2018,1,Transport,On-road,Light Duty Vehicles,243923,Clarence Valley,North Coast,Regional,11730
2018,1,Transport,On-road,Light Duty Vehicles,14941,Cobar,Far West,Regional,11750
2018,1,Transport,On-road,Light Duty Vehicles,281449,Coffs Harbour,North Coast,Regional,11800
2018,1,Transport,On-road,Light Duty Vehicles,13679,Coolamon,Riverina Murray,Regional,12000
2018,1,Transport,On-road,Light Duty Vehicles,14583,Coonamble,Central West and Orana,Regional,12150
2018,1,Transport,On-road,Light Duty Vehicles,62059,Cootamundra-Gundagai Regional,Riverina Murray,Regional,12160
2018,1,Transport,On-road,Light Duty Vehicles,50807,Cowra,Central West and Orana,Regional,12350
2018,1,Transport,On-road,Light Duty Vehicles,379585,Cumberland,Central River City,Six Cities,12380
2018,1,Transport,On-road,Light Duty Vehicles,202234,Dubbo Regional,Central West and Orana,Regional,12390
2018,1,Transport,On-road,Light Duty Vehicles,3676,Dungog,Upper Hunter,Regional,12700
2018,1,Transport,On-road,Light Duty Vehicles,37974,Edward River,Riverina Murray,Regional,12730
2018,1,Transport,On-road,Light Duty Vehicles,134758,Eurobodalla,South East and Tablelands,Regional,12750
2018,1,Transport,On-road,Light Duty Vehicles,290312,Fairfield,Western Parkland City,Six Cities,12850
2018,1,Transport,On-road,Light Duty Vehicles,39212,Federation,Riverina Murray,Regional,12870
2018,1,Transport,On-road,Light Duty Vehicles,35268,Forbes,Central West and Orana,Regional,12900
2018,1,Transport,On-road,Light Duty Vehicles,174012,Georges River,Central River City,Six Cities,12930
2018,1,Transport,On-road,Light Duty Vehicles,17404,Gilgandra,Central West and Orana,Regional,12950
2018,1,Transport,On-road,Light Duty Vehicles,30105,Glen Innes Severn,New England North West,Regional,13010
2018,1,Transport,On-road,Light Duty Vehicles,168262,Goulburn Mulwaree,South East and Tablelands,Regional,13310
2018,1,Transport,On-road,Light Duty Vehicles,65185,Greater Hume Shire,Riverina Murray,Regional,13340
2018,1,Transport,On-road,Light Duty Vehicles,109840,Griffith,Riverina Murray,Regional,13450
2018,1,Transport,On-road,Light Duty Vehicles,46639,Gunnedah,New England North West,Regional,13550
2018,1,Transport,On-road,Light Duty Vehicles,19114,Gwydir,New England North West,Regional,13660
2018,1,Transport,On-road,Light Duty Vehicles,64258,Hawkesbury,Western Parkland City,Six Cities,13800
2018,1,Transport,On-road,Light Duty Vehicles,10622,Hay,Riverina Murray,Regional,13850
2018,1,Transport,On-road,Light Duty Vehicles,82198,Hilltops,South East and Tablelands,Regional,13910
2018,1,Transport,On-road,Light Duty Vehicles,318110,Hornsby,Eastern Harbour City,Six Cities,14000
2018,1,Transport,On-road,Light Duty Vehicles,24122,Hunters Hill,Eastern Harbour City,Six Cities,14100
2018,1,Transport,On-road,Light Duty Vehicles,303939,Inner West,Eastern Harbour City,Six Cities,14170
2018,1,Transport,On-road,Light Duty Vehicles,65775,Inverell,New England North West,Regional,14200
2018,1,Transport,On-road,Light Duty Vehicles,28166,Junee,Riverina Murray,Regional,14300
2018,1,Transport,On-road,Light Duty Vehicles,129783,Kempsey,North Coast,Regional,14350
2018,1,Transport,On-road,Light Duty Vehicles,56623,Kiama,Illawarra-Shoalhaven City,Six Cities,14400
2018,1,Transport,On-road,Light Duty Vehicles,204451,Ku-Ring-Gai,Eastern Harbour City,Six Cities,14500
2018,1,Transport,On-road,Light Duty Vehicles,41954,Kyogle,North Coast,Regional,14550
2018,1,Transport,On-road,Light Duty Vehicles,18080,Lachlan,Central West and Orana,Regional,14600
2018,1,Transport,On-road,Light Duty Vehicles,539026,Lake Macquarie,Lower Hunter and Greater Newcastle City,Six Cities,14650
2018,1,Transport,On-road,Light Duty Vehicles,79752,Lane Cove,Eastern Harbour City,Six Cities,14700
2018,1,Transport,On-road,Light Duty Vehicles,32352,Leeton,Riverina Murray,Regional,14750
2018,1,Transport,On-road,Light Duty Vehicles,191393,Lismore,North Coast,Regional,14850
2018,1,Transport,On-road,Light Duty Vehicles,97279,Lithgow,Central West and Orana,Regional,14870
2018,1,Transport,On-road,Light Duty Vehicles,475448,Liverpool,Western Parkland City,Six Cities,14900
2018,1,Transport,On-road,Light Duty Vehicles,32647,Liverpool Plains,New England North West,Regional,14920
2018,1,Transport,On-road,Light Duty Vehicles,11202,Lockhart,Riverina Murray,Regional,14950
2018,1,Transport,On-road,Light Duty Vehicles,152780,Maitland,Lower Hunter and Greater Newcastle City,Six Cities,15050
2018,1,Transport,On-road,Light Duty Vehicles,390764,Mid-Coast,Upper Hunter,Regional,15240
2018,1,Transport,On-road,Light Duty Vehicles,97942,Mid-Western Regional,Central West and Orana,Regional,15270
2018,1,Transport,On-road,Light Duty Vehicles,46082,Moree Plains,New England North West,Regional,15300
2018,1,Transport,On-road,Light Duty Vehicles,27275,Mosman,Eastern Harbour City,Six Cities,15350
2018,1,Transport,On-road,Light Duty Vehicles,32137,Murray River,Riverina Murray,Regional,15520
2018,1,Transport,On-road,Light Duty Vehicles,17085,Murrumbidgee,Riverina Murray,Regional,15560
2018,1,Transport,On-road,Light Duty Vehicles,66553,Muswellbrook,Upper Hunter,Regional,15650
2018,1,Transport,On-road,Light Duty Vehicles,88327,Nambucca,North Coast,Regional,15700
2018,1,Transport,On-road,Light Duty Vehicles,60661,Narrabri,New England North West,Regional,15750
2018,1,Transport,On-road,Light Duty Vehicles,28917,Narrandera,Riverina Murray,Regional,15800
2018,1,Transport,On-road,Light Duty Vehicles,28307,Narromine,Central West and Orana,Regional,15850
2018,1,Transport,On-road,Light Duty Vehicles,347630,Newcastle,Lower Hunter and Greater Newcastle City,Six Cities,15900
2018,1,Transport,On-road,Light Duty Vehicles,115644,North Sydney,Eastern Harbour City,Six Cities,15950
2018,1,Transport,On-road,Light Duty Vehicles,296287,Northern Beaches,Eastern Harbour City,Six Cities,15990
2018,1,Transport,On-road,Light Duty Vehicles,27658,Oberon,Central West and Orana,Regional,16100
2018,1,Transport,On-road,Light Duty Vehicles,116331,Orange,Central West and Orana,Regional,16150
2018,1,Transport,On-road,Light Duty Vehicles,60551,Parkes,Central West and Orana,Regional,16200
2018,1,Transport,On-road,Light Duty Vehicles,484779,Parramatta,Central River City,Six Cities,16260
2018,1,Transport,On-road,Light Duty Vehicles,372467,Penrith,Western Parkland City,Six Cities,16350
2018,1,Transport,On-road,Light Duty Vehicles,298887,Port Macquarie-Hastings,North Coast,Regional,16380
2018,1,Transport,On-road,Light Duty Vehicles,159438,Port Stephens,Lower Hunter and Greater Newcastle City,Six Cities,16400
2018,1,Transport,On-road,Light Duty Vehicles,193781,Queanbeyan-Palerang Regional,South East and Tablelands,Regional,16490
2018,1,Transport,On-road,Light Duty Vehicles,105889,Randwick,Eastern Harbour City,Six Cities,16550
2018,1,Transport,On-road,Light Duty Vehicles,110176,Richmond Valley,North Coast,Regional,16610
2018,1,Transport,On-road,Light Duty Vehicles,267663,Ryde,Eastern Harbour City,Six Cities,16700
2018,1,Transport,On-road,Light Duty Vehicles,110432,Shellharbour,Illawarra-Shoalhaven City,Six Cities,16900
2018,1,Transport,On-road,Light Duty Vehicles,396677,Shoalhaven,Illawarra-Shoalhaven City,Six Cities,16950
2018,1,Transport,On-road,Light Duty Vehicles,16494,Singleton,Upper Hunter,Regional,17000
2018,1,Transport,On-road,Light Duty Vehicles,93711,Snowy Monaro Regional,South East and Tablelands,Regional,17040
2018,1,Transport,On-road,Light Duty Vehicles,42203,Snowy Valleys,Riverina Murray,Regional,17080
2018,1,Transport,On-road,Light Duty Vehicles,111812,Strathfield,Eastern Harbour City,Six Cities,17100
2018,1,Transport,On-road,Light Duty Vehicles,367037,Sutherland Shire,Central River City,Six Cities,17150
2018,1,Transport,On-road,Light Duty Vehicles,373513,Sydney,Eastern Harbour City,Six Cities,17200
2018,1,Transport,On-road,Light Duty Vehicles,236750,Tamworth Regional,New England North West,Regional,17310
2018,1,Transport,On-road,Light Duty Vehicles,21326,Temora,Riverina Murray,Regional,17350
2018,1,Transport,On-road,Light Duty Vehicles,21649,Tenterfield,New England North West,Regional,17400
2018,1,Transport,On-road,Light Duty Vehicles,250101,The Hills Shire,Central River City,Six Cities,17420
2018,1,Transport,On-road,Light Duty Vehicles,312887,Tweed,North Coast,Regional,17550
2018,1,Transport,On-road,Light Duty Vehicles,18199,Unincorporated NSW,Far West,Regional,19399
2018,1,Transport,On-road,Light Duty Vehicles,72053,Upper Hunter Shire,Upper Hunter,Regional,17620
2018,1,Transport,On-road,Light Duty Vehicles,75357,Upper Lachlan Shire,South East and Tablelands,Regional,17640
2018,1,Transport,On-road,Light Duty Vehicles,28970,Uralla,New England North West,Regional,17650
2018,1,Transport,On-road,Light Duty Vehicles,250274,Wagga Wagga,Riverina Murray,Regional,17750
2018,1,Transport,On-road,Light Duty Vehicles,10309,Walcha,New England North West,Regional,17850
2018,1,Transport,On-road,Light Duty Vehicles,19903,Walgett,Far West,Regional,17900
2018,1,Transport,On-road,Light Duty Vehicles,12584,Warren,Central West and Orana,Regional,17950
2018,1,Transport,On-road,Light Duty Vehicles,52591,Warrumbungle Shire,Central West and Orana,Regional,18020
2018,1,Transport,On-road,Light Duty Vehicles,29976,Waverley,Eastern Harbour City,Six Cities,18050
2018,1,Transport,On-road,Light Duty Vehicles,14124,Weddin,Central West and Orana,Regional,18100
2018,1,Transport,On-road,Light Duty Vehicles,20115,Wentworth,Far West,Regional,18200
2018,1,Transport,On-road,Light Duty Vehicles,129506,Willoughby,Eastern Harbour City,Six Cities,18250
2018,1,Transport,On-road,Light Duty Vehicles,242621,Wingecarribee,South East and Tablelands,Regional,18350
2018,1,Transport,On-road,Light Duty Vehicles,120498,Wollondilly,Western Parkland City,Six Cities,18400
2018,1,Transport,On-road,Light Duty Vehicles,431351,Wollongong,Illawarra-Shoalhaven City,Six Cities,18450
2018,1,Transport,On-road,Light Duty Vehicles,46720,Woollahra,Eastern Harbour City,Six Cities,18500
2018,1,Transport,On-road,Light Duty Vehicles,134628,Yass Valley,South East and Tablelands,Regional,18710
2019,1,Transport,On-road,Light Duty Vehicles,173976,Albury,Riverina Murray,Regional,10050
2019,1,Transport,On-road,Light Duty Vehicles,103816,Armidale Regional,New England North West,Regional,10130
2019,1,Transport,On-road,Light Duty Vehicles,174475,Ballina,North Coast,Regional,10250
2019,1,Transport,On-road,Light Duty Vehicles,11608,Balranald,Far West,Regional,10300
2019,1,Transport,On-road,Light Duty Vehicles,147554,Bathurst Regional,Central West and Orana,Regional,10470
2019,1,Transport,On-road,Light Duty Vehicles,331540,Bayside,Eastern Harbour City,Six Cities,10500
2019,1,Transport,On-road,Light Duty Vehicles,116539,Bega Valley,South East and Tablelands,Regional,10550
2019,1,Transport,On-road,Light Duty Vehicles,58424,Bellingen,North Coast,Regional,10600
2019,1,Transport,On-road,Light Duty Vehicles,22206,Berrigan,Riverina Murray,Regional,10650
2019,1,Transport,On-road,Light Duty Vehicles,658511,Blacktown,Central River City,Six Cities,10750
2019,1,Transport,On-road,Light Duty Vehicles,26207,Bland,Riverina Murray,Regional,10800
2019,1,Transport,On-road,Light Duty Vehicles,28102,Blayney,Central West and Orana,Regional,10850
2019,1,Transport,On-road,Light Duty Vehicles,205350,Blue Mountains,Western Parkland City,Six Cities,10900
2019,1,Transport,On-road,Light Duty Vehicles,11920,Bogan,Central West and Orana,Regional,10950
2019,1,Transport,On-road,Light Duty Vehicles,7685,Bourke,Far West,Regional,11150
2019,1,Transport,On-road,Light Duty Vehicles,4514,Brewarrina,Far West,Regional,11200
2019,1,Transport,On-road,Light Duty Vehicles,42377,Broken Hill,Far West,Regional,11250
2019,1,Transport,On-road,Light Duty Vehicles,54156,Burwood,Eastern Harbour City,Six Cities,11300
2019,1,Transport,On-road,Light Duty Vehicles,145384,Byron,North Coast,Regional,11350
2019,1,Transport,On-road,Light Duty Vehicles,90457,Cabonne,Central West and Orana,Regional,11400
2019,1,Transport,On-road,Light Duty Vehicles,167245,Camden,Western Parkland City,Six Cities,11450
2019,1,Transport,On-road,Light Duty Vehicles,293690,Campbelltown,Western Parkland City,Six Cities,11500
2019,1,Transport,On-road,Light Duty Vehicles,144402,Canada Bay,Eastern Harbour City,Six Cities,11520
2019,1,Transport,On-road,Light Duty Vehicles,556632,Canterbury-Bankstown,Central River City,Six Cities,11570
2019,1,Transport,On-road,Light Duty Vehicles,43523,Carrathool,Riverina Murray,Regional,11600
2019,1,Transport,On-road,Light Duty Vehicles,918553,Central Coast,Central Coast City,Six Cities,11650
2019,1,Transport,On-road,Light Duty Vehicles,10889,Central Darling,Far West,Regional,11700
2019,1,Transport,On-road,Light Duty Vehicles,167719,Cessnock,Lower Hunter and Greater Newcastle City,Six Cities,11720
2019,1,Transport,On-road,Light Duty Vehicles,243417,Clarence Valley,North Coast,Regional,11730
2019,1,Transport,On-road,Light Duty Vehicles,14942,Cobar,Far West,Regional,11750
2019,1,Transport,On-road,Light Duty Vehicles,281164,Coffs Harbour,North Coast,Regional,11800
2019,1,Transport,On-road,Light Duty Vehicles,13679,Coolamon,Riverina Murray,Regional,12000
2019,1,Transport,On-road,Light Duty Vehicles,14572,Coonamble,Central West and Orana,Regional,12150
2019,1,Transport,On-road,Light Duty Vehicles,61948,Cootamundra-Gundagai Regional,Riverina Murray,Regional,12160
2019,1,Transport,On-road,Light Duty Vehicles,50728,Cowra,Central West and Orana,Regional,12350
2019,1,Transport,On-road,Light Duty Vehicles,376328,Cumberland,Central River City,Six Cities,12380
2019,1,Transport,On-road,Light Duty Vehicles,202045,Dubbo Regional,Central West and Orana,Regional,12390
2019,1,Transport,On-road,Light Duty Vehicles,3718,Dungog,Upper Hunter,Regional,12700
2019,1,Transport,On-road,Light Duty Vehicles,37919,Edward River,Riverina Murray,Regional,12730
2019,1,Transport,On-road,Light Duty Vehicles,134474,Eurobodalla,South East and Tablelands,Regional,12750
2019,1,Transport,On-road,Light Duty Vehicles,287896,Fairfield,Western Parkland City,Six Cities,12850
2019,1,Transport,On-road,Light Duty Vehicles,39201,Federation,Riverina Murray,Regional,12870
2019,1,Transport,On-road,Light Duty Vehicles,35243,Forbes,Central West and Orana,Regional,12900
2019,1,Transport,On-road,Light Duty Vehicles,172557,Georges River,Central River City,Six Cities,12930
2019,1,Transport,On-road,Light Duty Vehicles,17386,Gilgandra,Central West and Orana,Regional,12950
2019,1,Transport,On-road,Light Duty Vehicles,30097,Glen Innes Severn,New England North West,Regional,13010
2019,1,Transport,On-road,Light Duty Vehicles,167895,Goulburn Mulwaree,South East and Tablelands,Regional,13310
2019,1,Transport,On-road,Light Duty Vehicles,65056,Greater Hume Shire,Riverina Murray,Regional,13340
2019,1,Transport,On-road,Light Duty Vehicles,109686,Griffith,Riverina Murray,Regional,13450
2019,1,Transport,On-road,Light Duty Vehicles,46607,Gunnedah,New England North West,Regional,13550
2019,1,Transport,On-road,Light Duty Vehicles,19100,Gwydir,New England North West,Regional,13660
2019,1,Transport,On-road,Light Duty Vehicles,63916,Hawkesbury,Western Parkland City,Six Cities,13800
2019,1,Transport,On-road,Light Duty Vehicles,10618,Hay,Riverina Murray,Regional,13850
2019,1,Transport,On-road,Light Duty Vehicles,82072,Hilltops,South East and Tablelands,Regional,13910
2019,1,Transport,On-road,Light Duty Vehicles,315804,Hornsby,Eastern Harbour City,Six Cities,14000
2019,1,Transport,On-road,Light Duty Vehicles,23890,Hunters Hill,Eastern Harbour City,Six Cities,14100
2019,1,Transport,On-road,Light Duty Vehicles,301114,Inner West,Eastern Harbour City,Six Cities,14170
2019,1,Transport,On-road,Light Duty Vehicles,65683,Inverell,New England North West,Regional,14200
2019,1,Transport,On-road,Light Duty Vehicles,28127,Junee,Riverina Murray,Regional,14300
2019,1,Transport,On-road,Light Duty Vehicles,129621,Kempsey,North Coast,Regional,14350
2019,1,Transport,On-road,Light Duty Vehicles,56334,Kiama,Illawarra-Shoalhaven City,Six Cities,14400
2019,1,Transport,On-road,Light Duty Vehicles,202480,Ku-Ring-Gai,Eastern Harbour City,Six Cities,14500
2019,1,Transport,On-road,Light Duty Vehicles,41881,Kyogle,North Coast,Regional,14550
2019,1,Transport,On-road,Light Duty Vehicles,18070,Lachlan,Central West and Orana,Regional,14600
2019,1,Transport,On-road,Light Duty Vehicles,535633,Lake Macquarie,Lower Hunter and Greater Newcastle City,Six Cities,14650
2019,1,Transport,On-road,Light Duty Vehicles,78913,Lane Cove,Eastern Harbour City,Six Cities,14700
2019,1,Transport,On-road,Light Duty Vehicles,32344,Leeton,Riverina Murray,Regional,14750
2019,1,Transport,On-road,Light Duty Vehicles,190977,Lismore,North Coast,Regional,14850
2019,1,Transport,On-road,Light Duty Vehicles,97018,Lithgow,Central West and Orana,Regional,14870
2019,1,Transport,On-road,Light Duty Vehicles,471684,Liverpool,Western Parkland City,Six Cities,14900
2019,1,Transport,On-road,Light Duty Vehicles,32601,Liverpool Plains,New England North West,Regional,14920
2019,1,Transport,On-road,Light Duty Vehicles,11196,Lockhart,Riverina Murray,Regional,14950
2019,1,Transport,On-road,Light Duty Vehicles,151417,Maitland,Lower Hunter and Greater Newcastle City,Six Cities,15050
2019,1,Transport,On-road,Light Duty Vehicles,390009,Mid-Coast,Upper Hunter,Regional,15240
2019,1,Transport,On-road,Light Duty Vehicles,97767,Mid-Western Regional,Central West and Orana,Regional,15270
2019,1,Transport,On-road,Light Duty Vehicles,46071,Moree Plains,New England North West,Regional,15300
2019,1,Transport,On-road,Light Duty Vehicles,27070,Mosman,Eastern Harbour City,Six Cities,15350
2019,1,Transport,On-road,Light Duty Vehicles,32172,Murray River,Riverina Murray,Regional,15520
2019,1,Transport,On-road,Light Duty Vehicles,17060,Murrumbidgee,Riverina Murray,Regional,15560
2019,1,Transport,On-road,Light Duty Vehicles,66387,Muswellbrook,Upper Hunter,Regional,15650
2019,1,Transport,On-road,Light Duty Vehicles,88181,Nambucca,North Coast,Regional,15700
2019,1,Transport,On-road,Light Duty Vehicles,60567,Narrabri,New England North West,Regional,15750
2019,1,Transport,On-road,Light Duty Vehicles,28864,Narrandera,Riverina Murray,Regional,15800
2019,1,Transport,On-road,Light Duty Vehicles,28270,Narromine,Central West and Orana,Regional,15850
2019,1,Transport,On-road,Light Duty Vehicles,344702,Newcastle,Lower Hunter and Greater Newcastle City,Six Cities,15900
2019,1,Transport,On-road,Light Duty Vehicles,114660,North Sydney,Eastern Harbour City,Six Cities,15950
2019,1,Transport,On-road,Light Duty Vehicles,293348,Northern Beaches,Eastern Harbour City,Six Cities,15990
2019,1,Transport,On-road,Light Duty Vehicles,27566,Oberon,Central West and Orana,Regional,16100
2019,1,Transport,On-road,Light Duty Vehicles,116288,Orange,Central West and Orana,Regional,16150
2019,1,Transport,On-road,Light Duty Vehicles,60477,Parkes,Central West and Orana,Regional,16200
2019,1,Transport,On-road,Light Duty Vehicles,480744,Parramatta,Central River City,Six Cities,16260
2019,1,Transport,On-road,Light Duty Vehicles,369430,Penrith,Western Parkland City,Six Cities,16350
2019,1,Transport,On-road,Light Duty Vehicles,298542,Port Macquarie-Hastings,North Coast,Regional,16380
2019,1,Transport,On-road,Light Duty Vehicles,158154,Port Stephens,Lower Hunter and Greater Newcastle City,Six Cities,16400
2019,1,Transport,On-road,Light Duty Vehicles,193528,Queanbeyan-Palerang Regional,South East and Tablelands,Regional,16490
