Year,ScopeID,Sector,SubSector1,SubSector2,Emissions,LGA,Planning_Region,Metro_or_Regional,LGA_CODE18
2018,1,"Land Use, Land Use Change and Forestry",Forest land,,-83263,Balranald,Far West,Regional,10300
2019,1,"Land Use, Land Use Change and Forestry",Forest land,,-55674,Balranald,Far West,Regional,10300
2016,1,"Land Use, Land Use Change and Forestry",Grassland,,-37425,Balranald,Far West,Regional,10300
2017,1,"Land Use, Land Use Change and Forestry",Grassland,,52280,Balranald,Far West,Regional,10300
2018,1,"Land Use, Land Use Change and Forestry",Grassland,,106644,Balranald,Far West,Regional,10300
2019,1,"Land Use, Land Use Change and Forestry",Grassland,,-49020,Balranald,Far West,Regional,10300
2016,1,"Land Use, Land Use Change and Forestry",Settlement,,59,Balranald,Far West,Regional,10300
2017,1,"Land Use, Land Use Change and Forestry",Settlement,,78,Balranald,Far West,Regional,10300
2018,1,"Land Use, Land Use Change and Forestry",Settlement,,131,Balranald,Far West,Regional,10300
2019,1,"Land Use, Land Use Change and Forestry",Settlement,,65,Balranald,Far West,Regional,10300
2016,1,"Land Use, Land Use Change and Forestry",Cropland,,-4395,Bathurst Regional,Central West and Orana,Regional,10470
2017,1,"Land Use, Land Use Change and Forestry",Cropland,,-13352,Bathurst Regional,Central West and Orana,Regional,10470
2018,1,"Land Use, Land Use Change and Forestry",Cropland,,-10418,Bathurst Regional,Central West and Orana,Regional,10470
2019,1,"Land Use, Land Use Change and Forestry",Cropland,,-8944,Bathurst Regional,Central West and Orana,Regional,10470
2016,1,"Land Use, Land Use Change and Forestry",Forest land,,-159149,Bathurst Regional,Central West and Orana,Regional,10470
2017,1,"Land Use, Land Use Change and Forestry",Forest land,,-99529,Bathurst Regional,Central West and Orana,Regional,10470
2018,1,"Land Use, Land Use Change and Forestry",Forest land,,-158165,Bathurst Regional,Central West and Orana,Regional,10470
2019,1,"Land Use, Land Use Change and Forestry",Forest land,,-141081,Bathurst Regional,Central West and Orana,Regional,10470
2016,1,"Land Use, Land Use Change and Forestry",Grassland,,-2130,Bathurst Regional,Central West and Orana,Regional,10470
2017,1,"Land Use, Land Use Change and Forestry",Grassland,,-10706,Bathurst Regional,Central West and Orana,Regional,10470
2018,1,"Land Use, Land Use Change and Forestry",Grassland,,-2564,Bathurst Regional,Central West and Orana,Regional,10470
2019,1,"Land Use, Land Use Change and Forestry",Grassland,,19297,Bathurst Regional,Central West and Orana,Regional,10470
2016,1,"Land Use, Land Use Change and Forestry",Settlement,,112,Bathurst Regional,Central West and Orana,Regional,10470
2017,1,"Land Use, Land Use Change and Forestry",Settlement,,887,Bathurst Regional,Central West and Orana,Regional,10470
2018,1,"Land Use, Land Use Change and Forestry",Settlement,,20,Bathurst Regional,Central West and Orana,Regional,10470
2019,1,"Land Use, Land Use Change and Forestry",Settlement,,-464,Bathurst Regional,Central West and Orana,Regional,10470
2016,1,"Land Use, Land Use Change and Forestry",Cropland,,0,Bayside,Eastern Harbour City,Six Cities,10500
2017,1,"Land Use, Land Use Change and Forestry",Cropland,,0,Bayside,Eastern Harbour City,Six Cities,10500
2018,1,"Land Use, Land Use Change and Forestry",Cropland,,0,Bayside,Eastern Harbour City,Six Cities,10500
2019,1,"Land Use, Land Use Change and Forestry",Cropland,,0,Bayside,Eastern Harbour City,Six Cities,10500
2016,1,"Land Use, Land Use Change and Forestry",Forest land,,-331,Bayside,Eastern Harbour City,Six Cities,10500
2017,1,"Land Use, Land Use Change and Forestry",Forest land,,-280,Bayside,Eastern Harbour City,Six Cities,10500
2018,1,"Land Use, Land Use Change and Forestry",Forest land,,-391,Bayside,Eastern Harbour City,Six Cities,10500
2019,1,"Land Use, Land Use Change and Forestry",Forest land,,-369,Bayside,Eastern Harbour City,Six Cities,10500
2016,1,"Land Use, Land Use Change and Forestry",Grassland,,102,Bayside,Eastern Harbour City,Six Cities,10500
2017,1,"Land Use, Land Use Change and Forestry",Grassland,,151,Bayside,Eastern Harbour City,Six Cities,10500
2018,1,"Land Use, Land Use Change and Forestry",Grassland,,102,Bayside,Eastern Harbour City,Six Cities,10500
2019,1,"Land Use, Land Use Change and Forestry",Grassland,,113,Bayside,Eastern Harbour City,Six Cities,10500
2016,1,"Land Use, Land Use Change and Forestry",Settlement,,144,Bayside,Eastern Harbour City,Six Cities,10500
2017,1,"Land Use, Land Use Change and Forestry",Settlement,,270,Bayside,Eastern Harbour City,Six Cities,10500
2018,1,"Land Use, Land Use Change and Forestry",Settlement,,85,Bayside,Eastern Harbour City,Six Cities,10500
